"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"3948941",,"BR0803S17B","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948942",,"BR0803S16B","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948943",,"BR0803S15B","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948944",,"BR0803S14B","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948945",,"BR0803S13B","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948946",,"BR0803S12A","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948947",,"BR0803S11A","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948948",,"BR0803S10A","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948949",,"BR0803S9A","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948950",,"BR0803S8A","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948951",,"BR0803S7A","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948952",,"BR0803S1A","20080619","12","Floodmeadow, River Boyne, 1km West of Dublin Road Bridge, Slane, Co. Meath","14"
"3948953",,"BR0802S15","20080514","61","Leixlip, 3km from Maynooth on bank of Royal Canal, Co. Kildare","14"
"3948954",,"BR0802S14","20080514","61","Leixlip, 3km from Maynooth on bank of Royal Canal, Co. Kildare","14"
"3948955",,"BR0802S13","20080514","61","Leixlip, 3km from Maynooth on bank of Royal Canal, Co. Kildare","14"
"3948956",,"BR0802S11","20080514","61","Leixlip, 3km from Maynooth on bank of Royal Canal, Co. Kildare","14"
"3948957",,"BR0802S12","20080514","61","Leixlip, 3km from Maynooth on bank of Royal Canal, Co. Kildare","14"
"3948958",,"BR0802S9","20080514","61","Leixlip, 3km from Maynooth on bank of Royal Canal, Co. Kildare","14"
"3948959",,"BR0802S10","20080514","61","Leixlip, 3km from Maynooth on bank of Royal Canal, Co. Kildare","14"
"3948960",,"BR0802S8","20080514","61","Leixlip, 3km from Maynooth on bank of Royal Canal, Co. Kildare","14"
"3948961",,"BR0802S7","20080514","61","Leixlip, 3km from Maynooth on bank of Royal Canal, Co. Kildare","14"
"3948962",,"BR0802S6","20080514","61","Leixlip, 3km from Maynooth on bank of Royal Canal, Co. Kildare","14"
"3948963",,"BR0802S5","20080514","61","Leixlip, 3km from Maynooth on bank of Royal Canal, Co. Kildare","14"
"3948965",,"BR0802S2","20080514","61","Leixlip, 3km from Maynooth on bank of Royal Canal, Co. Kildare","14"
"3948966",,"BR0802S1","20080514","61","Leixlip, 3km from Maynooth on bank of Royal Canal, Co. Kildare","14"
"3948967",,"BR0801S22","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948968",,"BR0801S21","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948969",,"BR0801S20","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948970",,"BR0801S19","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948971",,"BR0801S18","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948972",,"BR0801S17","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948973",,"BR0801S16","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948974",,"BR0801S15","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948975",,"BR0801S14","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948976",,"BR0801S13","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948977",,"BR0801S12","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948978",,"BR0801S11","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948979",,"BR0801S10","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948980",,"BR0801S9","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948981",,"BR0801S8","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948982",,"BR0801S7","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948983",,"BR0801S6","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948984",,"BR0801S5","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948985",,"BR0801S4","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948986",,"BR0801S3","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948987",,"BR0801S2","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"3948988",,"BR0801S1","20080514","61","Leixlip, 3km from Maynooth on old N4 Road, Co. Kildare","14"
"4034159",,,,"99",,"1"
"4068988",,"UPM6464",,"","DON EL BEIDE","14"
"4071756",,"JA1","20021017","10","TRENT,","4"
"4090733",,"IMB218DH1",,"",,"1"
"4283848",,,"20041101","20","Lönstorp","1"
"4336174",,,"2009----","10","Upper Newport Bay, Orange County.","0"
"4392817",,,"2009----","10","Intersection of Conia and Junipero Serra Road, San Juan Capistrano, Orange County.","0"
"4397935",,,"2009----","10","Huntington Beach, Orange County.","0"
"4411014",,,"2009----","10","Intersection of Route 8 and El Camino Real, Oceanside, San Diego County.","0"
"4422279",,,"2009----","10","University of California - Irvine Arboretum, Orange County.","0"
"4425769",,,"2009----","10","Reststop, Camp Pendleton, San Diego County.","0"
"4427375",,,"2009----","10","Intersection of Calle Arroyo and Freeway #1, San Juan Capistrano, Orange County.","0"
"4878919",,"STIV383","20040709","61","Asmalldirtroadapprox3kmwestofTovuzbyasmallforest","23"
"4878947",,"STIV644","20040716","10","LargefreshwaterreservoiratSumgaitwithinprotectedfencedenclosue","23"
"4895260","IRL-2002","58","20020725","99","Provinz Dublin, Dublin, Dodder Valley Park","20"
"6283391","ITA-81","7455","19810823","99","2 km ö Sepino, Seitenweg, kurzhinter der Abzweigung von der Hauptstraße nach Benevento","12"
