"genesysId","uuid","instCode","acceNumb","doi","genus","species","spAuthor","subtaxa","subtAuthor","fullTaxa","origCty","acqSrc","acqDate","mlsStat","available","historic","storage","sampStat","duplSite","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"5618822","fd49064f-6a71-4344-87ec-6c0bc1e2fb71","ISR002","21178",,"Nasturtium","officinale","","","","Nasturtium officinale","ISR",,"20080710","","","false",,"100",,"4","2016-10-28 00:00:24","1285","2020-05-11 10:00:23"
"5676635","2a18ebd3-dc90-41e3-9394-0f18380b3f2e","AZE014","AzGR-4035",,"Nasturtium","officinale","L.","","","Nasturtium officinale L.","AZE",,"19970510","","","false","10","100",,"4","2016-10-28 02:01:15","1285","2020-05-11 06:09:10"
"6420617","ddc122cd-9f4f-4e58-9aee-7796ba20a666","JOR015","JO 2853","10.18730/QRXH2","Nasturtium","officinale","","","","Nasturtium officinale","JOR",,,"","","false","10","100","GBR004","4","2019-03-05 18:50:27","4","2019-03-05 18:50:27"
"6420641","de6f839a-f1be-4498-8f9f-456dfda499e8","JOR015","JO 2849","10.18730/QRXD=","Nasturtium","officinale","","","","Nasturtium officinale","JOR",,,"","","false","10","100","GBR004","4","2019-03-05 18:50:29","4","2019-03-05 18:50:29"
"6556338","beff70e5-6008-46f7-b20b-9b3853d74eaa","GBR004","475624",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20080919","false","false","false","10","110",,"4","2020-04-09 09:31:38","4","2020-04-09 09:31:38"
"6556521","20baee6d-f66b-43d2-bdc7-a7a6cf898d5e","GBR004","510291",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20090317","false","false","false","10","110",,"4","2020-04-09 09:31:54","4","2020-04-09 09:31:54"
"6556567","fde112bc-bca9-4d15-a9c2-dd9235efcc05","GBR004","510833",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20090317","false","false","false","10","110",,"4","2020-04-09 09:31:55","4","2020-04-09 09:31:55"
"6556618","b2cabdf3-ef36-400d-a4ac-390fb4eab823","GBR004","518493",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20090522","false","false","false","10","110",,"4","2020-04-09 09:31:58","4","2020-04-09 09:31:58"
"6556827","32239fae-3640-47be-8a56-69b60e1f396b","GBR004","536860",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20090826","false","false","false","10","110",,"4","2020-04-09 09:32:05","4","2020-04-09 09:32:05"
"6557020","0731d9a9-727a-4f60-905a-72c1d305eb84","GBR004","613620",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20110315","false","false","false","10","110",,"4","2020-04-09 09:32:39","4","2020-04-09 09:32:39"
"6557271","97518213-382e-4bf5-bdc8-1f76ad0f6cd8","GBR004","620044",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20110526","false","false","false","10","110",,"4","2020-04-09 09:32:41","4","2020-04-09 09:32:41"
"6557315","7f4d7ea4-1bca-4126-af6a-83606426b097","GBR004","620572",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20110526","false","false","false","10","110",,"4","2020-04-09 09:32:41","4","2020-04-09 09:32:41"
"6557448","0f7712b4-9a58-4e69-9454-8be2620d3a53","GBR004","624433",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20110617","false","false","false","10","110",,"4","2020-04-09 09:32:42","4","2020-04-09 09:32:42"
"6557522","df3822b1-e2a3-459a-bbf5-d336b163313e","GBR004","625577",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20110718","false","false","false","10","110",,"4","2020-04-09 09:32:44","4","2020-04-09 09:32:44"
"6557547","9ca74400-6f55-4d59-aeb6-e4412444b6ec","GBR004","625832",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20110718","false","false","false","10","110",,"4","2020-04-09 09:32:44","4","2020-04-09 09:32:44"
"6558008","b7a397fc-f7d4-47bb-b85b-cbfc4533ac2c","GBR004","767497",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20140117","false","false","false","10","110",,"4","2020-04-09 09:33:28","4","2020-04-09 09:33:28"
"6558034","4261d98f-189e-45e8-b9a3-bcb8d5802547","GBR004","767763",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20140117","false","false","false","10","110",,"4","2020-04-09 09:33:28","4","2020-04-09 09:33:28"
"6558821","b5f67605-1be5-458c-88f3-800209741250","GBR004","921729",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20170412","false","false","false","10","110",,"4","2020-04-09 09:34:30","4","2020-04-09 09:34:30"
"6558880","6fa0450a-210b-4435-93a0-969ef2db5b47","GBR004","944353",,"Nasturtium","officinale","W.T.Aiton","","","Nasturtium officinale W.T.Aiton","ISR",,"20171019","false","false","false","10","110",,"4","2020-04-09 09:34:36","4","2020-04-09 09:34:36"
