"lon","lat","acronym","scientific_name","source"
13.025,55.625,"ALLAMP","Allium ampeloprasum L.","gbif"
1.168743,41.312316,"ALLAMP","Allium ampeloprasum L.","gbif"
-2.610473,53.390613,"ALLAMP","Allium ampeloprasum L.","gbif"
2.488056,49.288611,"ALLAMP","Allium ampeloprasum L.","gbif"
0.18967,44.6183,"ALLAMP","Allium ampeloprasum L.","gbif"
4.619694,44.162907,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.649444,52.388333,"ALLAMP","Allium ampeloprasum L.","gbif"
16.425,56.425,"ALLAMP","Allium ampeloprasum L.","gbif"
-3.599523,40.031019,"ALLAMP","Allium ampeloprasum L.","gbif"
6.061845,48.752663,"ALLAMP","Allium ampeloprasum L.","gbif"
10.39587,43.719689,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.404889,40.362621,"ALLAMP","Allium ampeloprasum L.","gbif"
3.148847,39.395067,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.521052,53.389992,"ALLAMP","Allium ampeloprasum L.","gbif"
4.313351,43.861689,"ALLAMP","Allium ampeloprasum L.","gbif"
-5.940185,37.356725,"ALLAMP","Allium ampeloprasum L.","gbif"
-6.259448,37.305982,"ALLAMP","Allium ampeloprasum L.","gbif"
16.314105,49.871354,"ALLAMP","Allium ampeloprasum L.","gbif"
-5.002928,37.521346,"ALLAMP","Allium ampeloprasum L.","gbif"
5.88685,47.159824,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.888667,46.850059,"ALLAMP","Allium ampeloprasum L.","gbif"
-5.680888,38.25739,"ALLAMP","Allium ampeloprasum L.","gbif"
-6.995833,38.885,"ALLAMP","Allium ampeloprasum L.","gbif"
2.293879,48.743785,"ALLAMP","Allium ampeloprasum L.","gbif"
-7.87146,37.159514,"ALLAMP","Allium ampeloprasum L.","gbif"
2.446111,48.836667,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.069985,38.89782,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.555278,47.22,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.134444,38.554167,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.743216,50.361233,"ALLAMP","Allium ampeloprasum L.","gbif"
34.881998,50.31027,"ALLAMP","Allium ampeloprasum L.","gbif"
3.893611,40.004444,"ALLAMP","Allium ampeloprasum L.","gbif"
24.091304,35.540212,"ALLAMP","Allium ampeloprasum L.","gbif"
3.76033,44.118616,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.857948,54.27546,"ALLAMP","Allium ampeloprasum L.","gbif"
-6.366048,37.697207,"ALLAMP","Allium ampeloprasum L.","gbif"
